F1,delta,min_samples,epsilon,shape_weight
0.71916,16.29215,3,10,1.7
0.71629,15.9829,3,8,1.8
0.71528,15.90331,3,10,1.8
0.71327,15.63208,4,12,1.8
0.71021,15.46198,4,12,1.9
0.70989,15.3872,4,10,1.9
0.70397,15.32956,5,14,1.9
0.69968,15.10817,5,12,1.9
0.6986,15.0581,5,14,1.8
0.69508,14.97794,5,12,1.8
0.68794,14.93347,5,10,1.9
0.65099,14.60573,6,10,1.9
0.61533,14.44715,7,10,1.9
0.58398,14.43988,8,12,1.9
0.58043,14.40021,7,8,1.9
0.5519,14.22091,9,18,1.7
0.54391,14.0746,9,16,1.7
0.52777,13.99688,9,12,1.8
